month,category_final,mom_growth,amount
2025-10,"Связь, сервисы и подписки",11.1048,15131.0
2025-06,Упаковка и расходники,8.76283092922677,195261.5
2025-07,Аренда и коммунальные платежи,6.6871972529724255,422800.0
2025-10,"Налоги, взносы, штрафы",4.833333333333333,175000.0
2025-12,"Налоги, взносы, штрафы",4.658715596330275,154200.0
2025-07,Персонал,2.8419622641509434,127265.0
2026-04,Кредиты и займы,1.7566658333333334,99239.97
2025-12,Персонал,1.7015025242407242,674241.0
2025-08,Закупки для производства,1.6732772483037222,2726422.0
2025-12,Профессиональные услуги,1.4193548387096775,150000.0
2026-04,"Связь, сервисы и подписки",1.2419405320813772,14326.0
2026-02,Персонал,1.1854473098981702,280076.0
2025-12,Банковские комиссии и эквайринг,1.0799164299534807,4041.8599999999997
2026-04,"Налоги, взносы, штрафы",0.9753086419753085,80000.0
2026-02,"Связь, сервисы и подписки",0.9706567303213787,12693.0
2025-12,Аренда и коммунальные платежи,0.9183009938820021,762877.67
2025-08,Персонал,0.7175499941067851,218584.0
2025-07,Закупки для производства,0.7127886472415821,1019880.0
2026-02,Закупки для производства,0.5266954509012913,2604300.0
2025-07,Упаковка и расходники,0.40977402099236127,275274.58999999997
2025-06,Закупки для производства,0.3858148600686566,595450.0
2025-10,Закупки для производства,0.3751008383899208,4453057.8
2026-03,"Налоги, взносы, штрафы",0.3500000000000001,40500.0
2025-07,"Связь, сервисы и подписки",0.3351666666666666,16022.0
2025-08,Упаковка и расходники,0.28651721904299277,354145.5
2026-04,Банковские комиссии и эквайринг,0.2584210030730776,2940.2
2025-11,Упаковка и расходники,0.21189024390243905,409822.5
2025-09,Закупки для производства,0.18776550365277278,3238350.0
2026-02,Профессиональные услуги,0.16666666666666674,140000.0
2026-03,Аренда и коммунальные платежи,0.14684636121619898,491077.02
2026-03,Банковские комиссии и эквайринг,0.1436333199541846,2336.42
2026-04,Закупки для производства,0.13378684807256236,2662000.0
2025-09,Персонал,0.12679793580499954,246300.0
2026-05,"Налоги, взносы, штрафы",0.125,90000.0
2025-10,Банковские комиссии и эквайринг,0.10787020186465845,1978.49
2025-10,Аренда и коммунальные платежи,0.10758930721059645,382524.32
2026-02,"Налоги, взносы, штрафы",0.0714285714285714,30000.0
2026-02,Банковские комиссии и эквайринг,0.05701631846356037,2042.98
2025-09,Банковские комиссии и эквайринг,0.05671597633136094,1785.85
2025-11,Аренда и коммунальные платежи,0.03963070897034737,397684.03
2026-04,Профессиональные услуги,0.032167832167832255,147600.0
2026-03,Профессиональные услуги,0.021428571428571352,143000.0
2025-10,Персонал,0.012354851806739786,249343.0
2025-12,Упаковка и расходники,0.001055700943701332,410255.15
2025-11,Персонал,0.0009504979085035448,249580.0
2026-05,Кредиты и займы,0.0,99239.97
2025-07,Банковские комиссии и эквайринг,0.0,1690.0
2025-08,Банковские комиссии и эквайринг,0.0,1690.0
2026-03,Персонал,-0.000974735428954987,279803.0
2026-04,Персонал,-0.0012330103680089355,279458.0
2026-02,Аренда и коммунальные платежи,-0.008739964104715114,428197.74
2025-11,Банковские комиссии и эквайринг,-0.017796400285065905,1943.28
2025-09,Аренда и коммунальные платежи,-0.023003064995170686,345366.57
2025-11,"Связь, сервисы и подписки",-0.02438702002511406,14762.0
2025-11,Закупки для производства,-0.05230630511914758,4220134.8
2025-07,"Налоги, взносы, штрафы",-0.056545934729296365,100025.0
2026-03,Закупки для производства,-0.09845870291441083,2347884.0
2026-04,Аренда и коммунальные платежи,-0.14724227983626692,418769.72
2025-08,Аренда и коммунальные платежи,-0.16391175496688748,353498.11
2026-01,Профессиональные услуги,-0.19999999999999996,120000.0
2025-08,"Налоги, взносы, штрафы",-0.2001999500124969,80000.0
2025-12,Закупки для производства,-0.2517045190120467,3157907.8
2026-01,"Связь, сервисы и подписки",-0.2537365311087939,6441.0
2025-06,Банковские комиссии и эквайринг,-0.2797476986021139,1690.0
2025-08,"Связь, сервисы и подписки",-0.3767319935089253,9986.0
2025-12,"Связь, сервисы и подписки",-0.4153231269475681,8631.0
2026-05,Банковские комиссии и эквайринг,-0.42520916944425546,1690.0
2026-01,Аренда и коммунальные платежи,-0.4337582721486658,431973.17
2026-01,Закупки для производства,-0.45981918788129283,1705841.2
2026-03,"Связь, сервисы и подписки",-0.49657291420467975,6390.0
2025-06,"Налоги, взносы, штрафы",-0.5069066555043951,106020.0
2026-01,Банковские комиссии и эквайринг,-0.5218092660309857,1932.78
2025-06,"Связь, сервисы и подписки",-0.5527808089300728,12000.0
2025-06,Аренда и коммунальные платежи,-0.592165774235274,55000.54
2025-09,"Налоги, взносы, штрафы",-0.625,30000.0
2026-05,Закупки для производства,-0.7583395942900075,643300.0
2026-04,Упаковка и расходники,-0.7681477386209925,212200.0
2026-01,Упаковка и расходники,-0.7761393123279501,91840.0
2026-01,Персонал,-0.8099270142278503,128155.0
2026-01,"Налоги, взносы, штрафы",-0.8184176394293126,28000.0
2025-06,Персонал,-0.8392185414391458,33125.0
2025-11,"Налоги, взносы, штрафы",-0.8442857142857143,27250.0
2026-05,Упаковка и расходники,-0.8586239396795476,30000.0
2026-05,Профессиональные услуги,-0.8644986449864499,20000.0
2025-09,"Связь, сервисы и подписки",-0.8748247546565191,1250.0
2026-05,Аренда и коммунальные платежи,-0.9570169495540413,18000.0
2025-06,Вывод собственников,-1.0,0.0
2025-06,Профессиональные услуги,-1.0,0.0
2025-09,Упаковка и расходники,-1.0,0.0
2026-02,Упаковка и расходники,-1.0,0.0
2026-04,Неизвестно / требуется проверка,-1.0,0.0
2026-05,Персонал,-1.0,0.0
2026-05,"Связь, сервисы и подписки",-1.0,0.0
